medaka_id,disease_id,disease_source
MT13,OMIM:227240,omim
MT13,OMIM:606202,omim
MT13,OMIM:606574,omim
MT13,Orphanet:79435,ordo
MT144,OMIM:609721,omim
MT144,OMIM:617205,omim
MT169,OMIM:603297,omim
MT169,OMIM:613091,omim
MT169,Orphanet:93270,ordo
MT169,Orphanet:93271,ordo
MT20,OMIM:600470,omim
MT20,OMIM:616602,omim
MT20,OMIM:618736,omim
MT291,OMIM:602410,omim
MT291,OMIM:617333,omim
MT296,OMIM:300451,omim
MT296,OMIM:305100,omim
MT296,OMIM:313500,omim
MT296,Orphanet:181,ordo
MT312,OMIM:607186,omim
MT312,OMIM:616294,omim
MT337,OMIM:125270,omim
MT337,OMIM:612740,omim
MT337,Orphanet:100924,ordo
MT352,OMIM:603015,omim
MT352,OMIM:618454,omim
MT352,OMIM:618778,omim
MT374,OMIM:120433,omim
MT374,OMIM:606608,omim
MT374,Orphanet:1473,ordo
MT375,OMIM:603015,omim
MT375,OMIM:618454,omim
MT375,OMIM:618778,omim
MT67,OMIM:203100,omim
MT67,OMIM:601800,omim
MT67,OMIM:606933,omim
MT67,OMIM:606952,omim
MT67,Orphanet:79431,ordo
MT67,Orphanet:79434,ordo
MT7,OMIM:227240,omim
MT7,OMIM:606202,omim
MT7,OMIM:606574,omim
MT7,Orphanet:79435,ordo
MT70,OMIM:203100,omim
MT70,OMIM:601800,omim
MT70,OMIM:606933,omim
MT70,OMIM:606952,omim
MT70,Orphanet:79431,ordo
MT70,Orphanet:79434,ordo
MT72,OMIM:203100,omim
MT72,OMIM:601800,omim
MT72,OMIM:606933,omim
MT72,OMIM:606952,omim
MT72,Orphanet:79431,ordo
MT72,Orphanet:79434,ordo
MT80,OMIM:604975,omim
MT80,OMIM:616803,omim
MT80,Orphanet:530983,ordo
MT893,OMIM:114480,omim
MT893,OMIM:114550,omim
MT893,OMIM:137800,omim
MT893,OMIM:179617,omim
MT893,OMIM:191170,omim
MT893,OMIM:202300,omim
MT893,OMIM:260350,omim
MT893,OMIM:260500,omim
MT893,OMIM:607107,omim
MT893,OMIM:607585,omim
MT893,OMIM:614740,omim
MT893,OMIM:618165,omim
MT893,OMIM:http://purl.bioontology.org/ontology/OMIM/MTHU007778,omim
MT893,OMIM:http://purl.bioontology.org/ontology/OMIM/MTHU008946,omim
MT893,OMIM:http://purl.bioontology.org/ontology/OMIM/MTHU067730,omim
MT893,Orphanet:150,ordo
MT893,Orphanet:217074,ordo
MT893,Orphanet:227535,ordo
MT893,Orphanet:2807,ordo
MT893,Orphanet:466667,ordo
MT893,Orphanet:668,ordo
MT893,Orphanet:88673,ordo
MT894,OMIM:114480,omim
MT894,OMIM:114550,omim
MT894,OMIM:137800,omim
MT894,OMIM:179617,omim
MT894,OMIM:191170,omim
MT894,OMIM:202300,omim
MT894,OMIM:260350,omim
MT894,OMIM:260500,omim
MT894,OMIM:607107,omim
MT894,OMIM:607585,omim
MT894,OMIM:614740,omim
MT894,OMIM:618165,omim
MT894,OMIM:http://purl.bioontology.org/ontology/OMIM/MTHU007778,omim
MT894,OMIM:http://purl.bioontology.org/ontology/OMIM/MTHU008946,omim
MT894,OMIM:http://purl.bioontology.org/ontology/OMIM/MTHU067730,omim
MT894,Orphanet:150,ordo
MT894,Orphanet:217074,ordo
MT894,Orphanet:227535,ordo
MT894,Orphanet:2807,ordo
MT894,Orphanet:466667,ordo
MT894,Orphanet:668,ordo
MT894,Orphanet:88673,ordo
MT914,OMIM:202110,omim
MT914,Orphanet:90793,ordo
MT924,OMIM:216100,omim
MT924,OMIM:268300,omim
MT924,OMIM:609353,omim
MT924,Orphanet:2319,ordo
MT939,Orphanet:275534,ordo
MT97,OMIM:129490,omim
MT97,OMIM:224900,omim
MT97,OMIM:604095,omim
MT97,OMIM:612630,omim
