medaka_id,ensembl_id
MT104,ENSORLG00000008054
MT13,ENSORLG00000006533
MT144,ENSORLG00000025002
MT15,ENSORLG00000013460
MT169,ENSORLG00000010725
MT170,ENSORLG00000009503
MT20,ENSORLG00000010050
MT20,ENSORLG00000010055
MT291,ENSORLG00000011135
MT296,ENSORLG00000006521
MT312,ENSORLG00000004729
MT326,ENSORLG00000004247
MT329,ENSORLG00000016573
MT331,ENSORLG00000012628
MT337,ENSORLG00000013741
MT352,ENSORLG00000003282
MT364,ENSORLG00000020577
MT374,ENSORLG00000002708
MT375,ENSORLG00000003282
MT385,ENSORLG00000020496
MT41,ENSORLG00000006024
MT436,ENSORLG00000009191
MT443,ENSORLG00000017874
MT65,ENSORLG00000012793
MT67,ENSORLG00000010905
MT7,ENSORLG00000006533
MT70,ENSORLG00000010905
MT72,ENSORLG00000010905
MT76,ENSORLG00000012848
MT77,ENSORLG00000004269
MT80,ENSORLG00000008803
MT83,ENSORLG00000007755
MT893,ENSORLG00000006390
MT894,ENSORLG00000006390
MT914,ENSORLG00000019226
MT924,ENSORLG00000025622
MT934,ENSORLG00000006584
MT939,ENSORLG00000015057
MT97,ENSORLG00000015897
MT977,ENSORLG00000001220
