medaka_id,ncbigene_id
MT104,101159023
MT13,100049347
MT144,100820713
MT15,100049402
MT169,101163989
MT170,101159841
MT20,101170307
MT20,101170551
MT291,100302418
MT296,101172419
MT312,100529193
MT326,101165476
MT329,100049253
MT331,101170630
MT337,101162461
MT352,100304461
MT364,100529198
MT374,101170776
MT375,100304461
MT436,100125447
MT443,101171710
MT65,101169887
MT67,100049427
MT7,100049347
MT70,100049427
MT72,100049427
MT76,101174080
MT77,101174017
MT80,100144355
MT83,100302581
MT893,100049321
MT894,100049321
MT914,100125816
MT924,100533507
MT939,100529165
MT97,100049352
MT977,101173571
