medaka_id,zp_id
MT104,ZP:0002438
MT104,ZP:0005882
MT13,ZP:0000402
MT13,ZP:0002812
MT13,ZP:0002824
MT144,ZP:0002923
MT144,ZP:0006382
MT144,ZP:0010079
MT15,ZP:0002435
MT15,ZP:0003317
MT15,ZP:0006157
MT169,ZP:0000013
MT169,ZP:0000861
MT169,ZP:0001207
MT169,ZP:0002347
MT169,ZP:0002408
MT169,ZP:0002923
MT169,ZP:0005329
MT169,ZP:0006382
MT170,ZP:0000043
MT170,ZP:0000054
MT170,ZP:0000356
MT170,ZP:0000473
MT170,ZP:0002223
MT170,ZP:0002427
MT170,ZP:0005148
MT170,ZP:0006211
MT170,ZP:0006382
MT170,ZP:0006744
MT170,ZP:0007030
MT170,ZP:0007319
MT170,ZP:0009423
MT170,ZP:0009425
MT170,ZP:0010079
MT170,ZP:0010320
MT20,ZP:0000141
MT20,ZP:0001335
MT20,ZP:0002223
MT20,ZP:0004969
MT20,ZP:0004992
MT291,ZP:0002877
MT291,ZP:0010636
MT296,ZP:0000324
MT296,ZP:0000584
MT296,ZP:0000762
MT296,ZP:0001054
MT296,ZP:0001291
MT296,ZP:0002279
MT296,ZP:0003912
MT296,ZP:0004286
MT296,ZP:0004509
MT296,ZP:0006723
MT296,ZP:0007203
MT296,ZP:0007319
MT296,ZP:0007398
MT296,ZP:0007399
MT296,ZP:0007408
MT296,ZP:0007763
MT296,ZP:0008316
MT296,ZP:0008346
MT296,ZP:0008347
MT296,ZP:0008352
MT296,ZP:0008610
MT296,ZP:0008868
MT296,ZP:0008910
MT296,ZP:0009067
MT296,ZP:0009643
MT312,ZP:0000473
MT312,ZP:0000606
MT312,ZP:0001609
MT312,ZP:0008895
MT326,ZP:0001143
MT326,ZP:0002918
MT326,ZP:0003323
MT326,ZP:0003573
MT326,ZP:0004832
MT326,ZP:0005329
MT326,ZP:0007930
MT329,ZP:0000172
MT329,ZP:0000546
MT329,ZP:0005329
MT331,ZP:0000429
MT331,ZP:0000515
MT331,ZP:0000943
MT331,ZP:0003437
MT331,ZP:0005329
MT331,ZP:0006695
MT337,ZP:0000172
MT337,ZP:0000396
MT337,ZP:0000950
MT337,ZP:0005329
MT337,ZP:0006529
MT337,ZP:0008552
MT352,ZP:0000043
MT352,ZP:0000444
MT352,ZP:0000720
MT352,ZP:0001086
MT352,ZP:0002503
MT352,ZP:0003503
MT352,ZP:0003573
MT352,ZP:0008678
MT364,ZP:0000179
MT364,ZP:0003000
MT374,ZP:0000179
MT374,ZP:0002996
MT374,ZP:0003867
MT374,ZP:0005329
MT374,ZP:0009886
MT375,ZP:0000043
MT375,ZP:0000720
MT375,ZP:0001086
MT375,ZP:0003573
MT375,ZP:0007203
MT375,ZP:0008678
MT385,ZP:0001564
MT41,ZP:0000356
MT436,ZP:0002435
MT436,ZP:0003037
MT436,ZP:0005329
MT436,ZP:0009388
MT443,ZP:0001564
MT443,ZP:0004583
MT65,ZP:0000854
MT65,ZP:0001010
MT65,ZP:0001237
MT65,ZP:0001621
MT65,ZP:0003323
MT65,ZP:0006446
MT65,ZP:0008189
MT67,ZP:0001644
MT67,ZP:0002292
MT67,ZP:0002824
MT67,ZP:0009110
MT7,ZP:0001644
MT7,ZP:0002862
MT7,ZP:0003317
MT70,ZP:0002292
MT70,ZP:0009110
MT72,ZP:0002824
MT72,ZP:0009110
MT76,ZP:0000309
MT76,ZP:0004654
MT77,ZP:0000309
MT77,ZP:0003317
MT77,ZP:0003744
MT80,ZP:0004654
MT83,ZP:0002044
MT83,ZP:0002931
MT893,ZP:0002680
MT894,ZP:0002680
MT894,ZP:0005329
MT924,ZP:0000012
MT924,ZP:0000375
MT924,ZP:0001051
MT924,ZP:0001126
MT924,ZP:0001129
MT924,ZP:0001462
MT924,ZP:0001616
MT924,ZP:0002251
MT924,ZP:0002877
MT924,ZP:0003323
MT924,ZP:0005329
MT934,ZP:0000048
MT934,ZP:0000100
MT934,ZP:0000107
MT934,ZP:0000943
MT934,ZP:0003190
MT934,ZP:0004992
MT934,ZP:0005329
MT934,ZP:0006481
MT934,ZP:0006695
MT934,ZP:0009132
MT939,ZP:0002765
MT939,ZP:0005973
MT939,ZP:0006273
MT939,ZP:0007536
MT97,ZP:0004996
MT97,ZP:0007399
MT97,ZP:0009706
MT977,ZP:0005329
MT977,ZP:0006463
